id,createdTime,Calculation,Cohort 2 (from Schools),Created,Date,DateAsString,SchoolRecID (from Schools),Schools,Workshops
recVjDVaBsOxlJS0N,2026-02-12T19:31:25.000Z,0,recBegBohgNLuxvd6,2026-02-12T19:31:25.000Z,2026-11-02,"""2026-11-02""",recYerI3xzYJP4nDb,recYerI3xzYJP4nDb,
recVkqQWArX5Xh7E7,2025-03-14T17:15:20.000Z,0,recBegBohgNLuxvd6,2025-03-14T17:15:20.000Z,2025-09-03,"""2025-09-03""",recYerI3xzYJP4nDb,recYerI3xzYJP4nDb,
recVm1J4GPi3dmwLn,2025-03-10T20:47:01.000Z,0,"recXbBlfbSDyFwesd,rectzlwUZbg7DifiH",2025-03-10T20:47:01.000Z,2025-10-21,"""2025-10-21""",recpT7nnt8PrJfj5G,recpT7nnt8PrJfj5G,
recVmH1eF277PNvxC,2026-02-12T16:35:06.000Z,0,recBzTKhTFt0rpyZj,2026-02-12T16:35:06.000Z,2026-12-03,"""2026-12-03""",recRjbVI7qZcPQpAz,recRjbVI7qZcPQpAz,
recVnCmxU1Vzsu1CD,2025-03-07T22:45:06.000Z,0,"recHHg9XhLHC21zvY,reccBfPpfUFwgTi5y",2025-03-07T22:45:06.000Z,2026-01-29,"""2026-01-29""",recx1B8XKHLMi0fIe,recx1B8XKHLMi0fIe,
recVpXxfXzmutl6Iq,2025-03-12T16:56:46.000Z,0,rectzlwUZbg7DifiH,2025-03-12T16:56:46.000Z,2025-10-23,"""2025-10-23""",reccEPUJCe3hcX1fb,reccEPUJCe3hcX1fb,
recVq9XUgrTdYDLdT,2026-02-20T18:14:09.000Z,0,rectzlwUZbg7DifiH,2026-02-20T18:14:09.000Z,2026-12-07,"""2026-12-07""",recjntFqG1ji2lIUN,recjntFqG1ji2lIUN,
recVrJcNwRIOltMNo,2025-03-05T21:19:42.000Z,0,recq6igT43CAApRLT,2025-03-05T21:19:42.000Z,2025-10-29,"""2025-10-29""",recPFyvcvxnsAtUCz,recPFyvcvxnsAtUCz,
recVrODF0OssWN7B6,2026-02-17T18:37:14.000Z,0,recZqfQ4RkbnW2JIg,2026-02-17T18:37:14.000Z,2026-11-25,"""2026-11-25""",recVAtLH989vPXIol,recVAtLH989vPXIol,
recVrrBQMJF3T5luG,2026-02-11T18:27:42.000Z,0,recBegBohgNLuxvd6,2026-02-11T18:27:42.000Z,2026-09-23,"""2026-09-23""",rec7yXg3tc5sagKcw,rec7yXg3tc5sagKcw,
